threshold,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,specificity,flagged_rate,cost,normalized_cost
0.05,77,515,108,0,0.13006756756756757,1.0,0.23019431988041855,0.826645264847512,0.17335473515248795,0.8457142857142858,515.0,0.7357142857142858
0.1,77,339,284,0,0.18509615384615385,1.0,0.31237322515212984,0.5441412520064205,0.45585874799357945,0.5942857142857143,339.0,0.48428571428571426
0.15,77,224,399,0,0.2558139534883721,1.0,0.40740740740740744,0.3595505617977528,0.6404494382022472,0.43,224.0,0.32
0.2,77,169,454,0,0.3130081300813008,1.0,0.4767801857585139,0.2712680577849117,0.7287319422150883,0.3514285714285714,169.0,0.24142857142857144
0.25,77,133,490,0,0.36666666666666664,1.0,0.5365853658536585,0.21348314606741572,0.7865168539325843,0.3,133.0,0.19
0.3,76,107,516,1,0.41530054644808745,0.987012987012987,0.5846153846153848,0.17174959871589085,0.8282504012841091,0.26142857142857145,117.0,0.16714285714285715
0.35,75,81,542,2,0.4807692307692308,0.974025974025974,0.6437768240343347,0.13001605136436598,0.869983948635634,0.22285714285714286,101.0,0.1442857142857143
0.4,73,62,561,4,0.5407407407407407,0.948051948051948,0.6886792452830189,0.09951845906902086,0.9004815409309791,0.19285714285714287,102.0,0.1457142857142857
0.45,72,51,572,5,0.5853658536585366,0.935064935064935,0.72,0.08186195826645265,0.9181380417335474,0.1757142857142857,101.0,0.1442857142857143
0.5,70,40,583,7,0.6363636363636364,0.9090909090909091,0.7486631016042781,0.06420545746388442,0.9357945425361156,0.15714285714285714,110.0,0.15714285714285714
0.55,66,36,587,11,0.6470588235294118,0.8571428571428571,0.7374301675977654,0.05778491171749599,0.942215088282504,0.1457142857142857,146.0,0.20857142857142857
0.6,64,26,597,13,0.7111111111111111,0.8311688311688312,0.7664670658682636,0.04173354735152488,0.9582664526484751,0.12857142857142856,156.0,0.22285714285714286
0.65,55,16,607,22,0.7746478873239436,0.7142857142857143,0.7432432432432432,0.025682182985553772,0.9743178170144462,0.10142857142857142,236.0,0.33714285714285713
0.7,50,15,608,27,0.7692307692307693,0.6493506493506493,0.7042253521126761,0.024077046548956663,0.9759229534510433,0.09285714285714286,285.0,0.40714285714285714
0.75,45,12,611,32,0.7894736842105263,0.5844155844155844,0.6716417910447761,0.019261637239165328,0.9807383627608347,0.08142857142857143,332.0,0.4742857142857143
0.8,37,3,620,40,0.925,0.4805194805194805,0.6324786324786325,0.004815409309791332,0.9951845906902087,0.05714285714285714,403.0,0.5757142857142857
0.85,30,2,621,47,0.9375,0.38961038961038963,0.5504587155963303,0.0032102728731942215,0.9967897271268058,0.045714285714285714,472.0,0.6742857142857143
0.9,13,0,623,64,1.0,0.16883116883116883,0.2888888888888889,0.0,1.0,0.018571428571428572,640.0,0.9142857142857143
0.95,8,0,623,69,1.0,0.1038961038961039,0.18823529411764706,0.0,1.0,0.011428571428571429,690.0,0.9857142857142858
